Country,,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Djibouti,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,0.0,0.0,1.8,5.4,29.6,30.9,31.1,31.4,30.6,30.8,31.1,31.1,31.1,31.8,33.6,31.1,30.7,29.6,24.5,26.6,26.7,26.8,26.0,26.0,33.3,41.8,37.4,44.8,49.5,34.5,36.3,. .,. .,. .,. .,. .,. .,. .,. .
Equatorial Guinea,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,2.4,3.4,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,196,293,372,. .,. .,. .,. .,167,. .,18.2
Eritrea,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,108,80.2,125,152,92.8,263,273,231,167,151,182,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Ethiopia,,. .,. .,. .,. .,. .,. .,. .,. .,15.1,16.2,15.2,15.3,18.6,20.2,27.3,36.1,42.9,43.4,37.0,34.7,34.4,34.5,36.1,41.0,48.4,74.8,125,128,135,178,276,359,367,387,408,423,429,439,477,615,782,785,529,255,164,149,122,126,225,459,704,618,350,289,279,311,342,346,360,388,340,304,332,367,345,414,443,469
Gabon,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,3.0,3.0,4.4,4.6,5.5,6.7,9.4,10.5,16.8,20.1,28.9,. .,56.9,68.6,88.3,88.6,86.6,80.3,95.5,136,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,91.3,90.0,94.7,108,125,118,130,. .,. .,. .,269,266,278,282,208,170,203
Gambia,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,0.7,0.8,1.2,1.0,1.4,2.2,2.7,3.5,4.0,3.5,2.6,2.3,2.9,3.9,4.2,4.0,3.5,3.3,2.5,2.3,2.0,1.9,3.0,2.8,4.5,17.2,7.1,. .,. .,11.2,10.4,14.6,14.3,. .
Ghana,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,10.0,11.7,20.8,27.5,27.9,31.1,33.3,35.6,47.3,. .,44,49,47,41.1,30.2,41.1,64,79,89.0,122,101,66.4,121,196,170,71.1,44.6,63.2,51.7,43.3,22.8,22.6,27.6,41.4,41.7,41.0,37.8,49.1,44.4,45.5,57.5,59.3,50.9,32.4,37.0,53.2,56.4,64.2,75.7,126.1,113.7,118.3,122.5,234,337,255,253,191,162
Guinea,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,10.5,13.9,. .,14.2,14.7,15.1,26.3,31.7,36.1,. .,. .,. .,. .,85.2,71.0,60.3,52.5,52.3,. .,. .,. .,. .,. .,. .,. .,. .,71.8,55.7,44.0,45.9,. .,. .,44.4,45.0,55.2,46.0,87.7,98.1,84.1,81.0,. .,. .,. .,. .,. .,. .,. .,169,197,197,221.4,162
Guinea-Bissau,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,9.4,18.1,6.5,4.7,6.1,3.9,. .,4.4,. .,. .,. .,. .,2.0,2.2,1.9,1.8,2.9,. .,9.5,6.2,6.4,7.5,. .,12.1,. .,. .,. .,13.7,17.1,17.5,24.5,21.7,21.5,17.0,. .
Kenya,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,1.9,5.9,9.9,13.0,16.0,16.4,15.7,17.0,22.1,29.7,37.3,46.8,54.1,75.9,148,239,291,272,241,244,209,175,146,181,250,251,229,246,192,156,106,117,149,171,176,172,152,166,195,214,246,260,317,376,495,580,578,622,647,840,861,819,844,933
Lesotho,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,2.3,2.8,4.0,5.4,11.6,12.4,15.0,14.1,12.3,10.7,13.4,18.1,17.0,22.6,24.2,22.3,24.2,22.1,25.9,34.4,28.3,28.7,27.8,34.1,30.6,23.4,19.6,27.4,31.4,33.6,35.2,39.8,27.4,47.4,70.7,58.2,53.2,47.9,47.7,44.0,40.7
Liberia,,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,2.7,2.8,3.1,3.1,3.1,3.6,4.1,4.1,3.8,4.6,5.5,6.4,7.8,8.9,9.4,12.8,26.4,43.4,38.8,25.0,25.2,24.4,22.3,25.0,. .,. .,25.0,22.7,30.5,39.3,. .,. .,. .,. .,. .,. .,. .,. .,. .,3.2,8.0,3.9,3.5,3.9,7.2,8.5,13.3,15.2,15.1,14.5,13.5,12.3
Madagascar,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,1.6,8.5,9.2,9.0,9.5,10.7,11.3,12.1,13.0,13.0,12.1,12.8,16.1,20.3,25.9,30.2,33.0,44.0,52.2,81.9,90.4,86.5,. .,. .,55.1,50.9,50.6,36.7,32.9,30.2,37.9,34.7,23.1,37.8,27.6,27.2,49.4,52.5,50.4,45.0,47.2,65.0,57.7,72.5,54.5,54.0,53.9,81.9,103,71.0,56.9,72.0,68.6,71.9,69.7,58.9,59.3
Malawi,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,1.8,1.8,2.1,1.9,2.0,2.1,2.3,2.7,4.7,5.3,9.4,9.2,13.6,25.6,43.0,53.1,38.5,27.0,22.2,18.8,19.8,24.7,21.6,20.2,22.8,24.3,23.7,25.2,25.7,17.1,11.0,20.2,26.4,14.5,14.4,11.7,12.7,14.8,13.1,22.0,38.2,31.1,33.6,44.5,58.8,50.0,52.8,49.5,68.6,53.9,44.5,33.6
Mali,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,3.9,4.3,4.4,5.2,4.6,4.6,5.1,5.3,5.7,6.2,6.3,8.3,11.0,11.6,19.1,21.8,26.1,31.0,36.2,38.3,31.6,29.5,26.8,25.4,29.8,37.5,44.3,48.0,46.1,52.2,. .,. .,44.5,29.9,40.5,39.7,40.3,41.0,43.9,43.7,44.9,49.4,66.8,77.4,86.5,96.0,110,143,144,147,161,149,154,218,309,369
Mauritania,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,41.1,42.5,43.7,43.0,38.9,40.2,39.4,39.4,30.2,29.5,32.0,37.9,41.6,25.6,32.0,37.9,51.9,36.3,62.4,. .,66.7,81.9,. .,123,115,. .,. .,142,144,145,133,136
